[0.000000] (-) TimerEvent: {}
[0.000258] (-) JobUnselected: {'identifier': 'chomp_motion_planner'}
[0.000296] (-) JobUnselected: {'identifier': 'dual_arm_panda_moveit_config'}
[0.000305] (-) JobUnselected: {'identifier': 'dual_arm_panda_moveit_config'}
[0.000313] (-) JobUnselected: {'identifier': 'isaac_panda_moveit_config'}
[0.000319] (-) JobUnselected: {'identifier': 'kinova_gen3_6dof_robotiq_2f_85_moveit_config'}
[0.000327] (-) JobUnselected: {'identifier': 'kinova_gen3_7dof_robotiq_2f_85_moveit_config'}
[0.000333] (-) JobUnselected: {'identifier': 'kortex_api'}
[0.000340] (-) JobUnselected: {'identifier': 'kortex_bringup'}
[0.000347] (-) JobUnselected: {'identifier': 'kortex_description'}
[0.000353] (-) JobUnselected: {'identifier': 'kortex_driver'}
[0.000360] (-) JobUnselected: {'identifier': 'moveit'}
[0.000367] (-) JobUnselected: {'identifier': 'moveit2_tutorials'}
[0.000373] (-) JobUnselected: {'identifier': 'moveit_common'}
[0.000380] (-) JobUnselected: {'identifier': 'moveit_configs_utils'}
[0.000386] (-) JobUnselected: {'identifier': 'moveit_core'}
[0.000393] (-) JobUnselected: {'identifier': 'moveit_hybrid_planning'}
[0.000399] (-) JobUnselected: {'identifier': 'moveit_kinematics'}
[0.000406] (-) JobUnselected: {'identifier': 'moveit_msgs'}
[0.000412] (-) JobUnselected: {'identifier': 'moveit_planners'}
[0.000418] (-) JobUnselected: {'identifier': 'moveit_planners_chomp'}
[0.000425] (-) JobUnselected: {'identifier': 'moveit_planners_ompl'}
[0.000432] (-) JobUnselected: {'identifier': 'moveit_planners_stomp'}
[0.000438] (-) JobUnselected: {'identifier': 'moveit_plugins'}
[0.000444] (-) JobUnselected: {'identifier': 'moveit_py'}
[0.000451] (-) JobUnselected: {'identifier': 'moveit_resources'}
[0.000457] (-) JobUnselected: {'identifier': 'moveit_resources_fanuc_description'}
[0.000464] (-) JobUnselected: {'identifier': 'moveit_resources_fanuc_moveit_config'}
[0.000470] (-) JobUnselected: {'identifier': 'moveit_resources_panda_description'}
[0.000477] (-) JobUnselected: {'identifier': 'moveit_resources_panda_moveit_config'}
[0.000484] (-) JobUnselected: {'identifier': 'moveit_resources_pr2_description'}
[0.000490] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_ikfast_manipulator_plugin'}
[0.000497] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_moveit_config'}
[0.000503] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_pg70_support'}
[0.000510] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_support'}
[0.000516] (-) JobUnselected: {'identifier': 'moveit_ros'}
[0.000523] (-) JobUnselected: {'identifier': 'moveit_ros_benchmarks'}
[0.000529] (-) JobUnselected: {'identifier': 'moveit_ros_control_interface'}
[0.000535] (-) JobUnselected: {'identifier': 'moveit_ros_move_group'}
[0.000542] (-) JobUnselected: {'identifier': 'moveit_ros_occupancy_map_monitor'}
[0.000548] (-) JobUnselected: {'identifier': 'moveit_ros_perception'}
[0.000555] (-) JobUnselected: {'identifier': 'moveit_ros_planning'}
[0.000562] (-) JobUnselected: {'identifier': 'moveit_ros_planning_interface'}
[0.000568] (-) JobUnselected: {'identifier': 'moveit_ros_robot_interaction'}
[0.000575] (-) JobUnselected: {'identifier': 'moveit_ros_tests'}
[0.000581] (-) JobUnselected: {'identifier': 'moveit_ros_visualization'}
[0.000588] (-) JobUnselected: {'identifier': 'moveit_ros_warehouse'}
[0.000594] (-) JobUnselected: {'identifier': 'moveit_runtime'}
[0.000601] (-) JobUnselected: {'identifier': 'moveit_servo'}
[0.000607] (-) JobUnselected: {'identifier': 'moveit_setup_app_plugins'}
[0.000614] (-) JobUnselected: {'identifier': 'moveit_setup_assistant'}
[0.000620] (-) JobUnselected: {'identifier': 'moveit_setup_controllers'}
[0.000627] (-) JobUnselected: {'identifier': 'moveit_setup_core_plugins'}
[0.000633] (-) JobUnselected: {'identifier': 'moveit_setup_framework'}
[0.000639] (-) JobUnselected: {'identifier': 'moveit_setup_srdf_plugins'}
[0.000646] (-) JobUnselected: {'identifier': 'moveit_simple_controller_manager'}
[0.000652] (-) JobUnselected: {'identifier': 'moveit_task_constructor_capabilities'}
[0.000658] (-) JobUnselected: {'identifier': 'moveit_task_constructor_core'}
[0.000671] (-) JobUnselected: {'identifier': 'moveit_task_constructor_demo'}
[0.000678] (-) JobUnselected: {'identifier': 'moveit_task_constructor_msgs'}
[0.000684] (-) JobUnselected: {'identifier': 'moveit_task_constructor_visualization'}
[0.000691] (-) JobUnselected: {'identifier': 'moveit_visual_tools'}
[0.000697] (-) JobUnselected: {'identifier': 'my_robot'}
[0.000704] (-) JobUnselected: {'identifier': 'pick_ik'}
[0.000710] (-) JobUnselected: {'identifier': 'pilz_industrial_motion_planner'}
[0.000717] (-) JobUnselected: {'identifier': 'pilz_industrial_motion_planner_testutils'}
[0.000723] (-) JobUnselected: {'identifier': 'robotiq_controllers'}
[0.000730] (-) JobUnselected: {'identifier': 'robotiq_description'}
[0.000736] (-) JobUnselected: {'identifier': 'robotiq_driver'}
[0.000743] (-) JobUnselected: {'identifier': 'robotiq_hardware_tests'}
[0.000749] (-) JobUnselected: {'identifier': 'rviz_marker_tools'}
[0.000756] (-) JobUnselected: {'identifier': 'rviz_visual_tools'}
[0.000762] (-) JobUnselected: {'identifier': 'serial'}
[0.000846] (-) EventReactorShutdown: {}
