[0.000000] (-) TimerEvent: {}
[0.000270] (-) JobUnselected: {'identifier': 'chomp_motion_planner'}
[0.000301] (-) JobUnselected: {'identifier': 'dual_arm_panda_moveit_config'}
[0.000329] (-) JobUnselected: {'identifier': 'dual_arm_panda_moveit_config'}
[0.000483] (-) JobUnselected: {'identifier': 'kinova_gen3_6dof_robotiq_2f_85_moveit_config'}
[0.000501] (-) JobUnselected: {'identifier': 'kinova_gen3_7dof_robotiq_2f_85_moveit_config'}
[0.000510] (-) JobUnselected: {'identifier': 'kortex_api'}
[0.000518] (-) JobUnselected: {'identifier': 'kortex_bringup'}
[0.000525] (-) JobUnselected: {'identifier': 'kortex_description'}
[0.000531] (-) JobUnselected: {'identifier': 'kortex_driver'}
[0.000538] (-) JobUnselected: {'identifier': 'moveit'}
[0.000544] (-) JobUnselected: {'identifier': 'moveit2_tutorials'}
[0.000551] (-) JobUnselected: {'identifier': 'moveit_common'}
[0.000557] (-) JobUnselected: {'identifier': 'moveit_configs_utils'}
[0.000565] (-) JobUnselected: {'identifier': 'moveit_core'}
[0.000573] (-) JobUnselected: {'identifier': 'moveit_hybrid_planning'}
[0.000582] (-) JobUnselected: {'identifier': 'moveit_kinematics'}
[0.000590] (-) JobUnselected: {'identifier': 'moveit_msgs'}
[0.000599] (-) JobUnselected: {'identifier': 'moveit_planners'}
[0.000640] (-) JobUnselected: {'identifier': 'moveit_planners_chomp'}
[0.000681] (-) JobUnselected: {'identifier': 'moveit_planners_ompl'}
[0.000705] (-) JobUnselected: {'identifier': 'moveit_planners_stomp'}
[0.000723] (-) JobUnselected: {'identifier': 'moveit_plugins'}
[0.000741] (-) JobUnselected: {'identifier': 'moveit_py'}
[0.000757] (-) JobUnselected: {'identifier': 'moveit_resources'}
[0.000773] (-) JobUnselected: {'identifier': 'moveit_resources_fanuc_description'}
[0.000789] (-) JobUnselected: {'identifier': 'moveit_resources_fanuc_moveit_config'}
[0.000805] (-) JobUnselected: {'identifier': 'moveit_resources_panda_description'}
[0.000821] (-) JobUnselected: {'identifier': 'moveit_resources_panda_moveit_config'}
[0.000837] (-) JobUnselected: {'identifier': 'moveit_resources_pr2_description'}
[0.000852] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_ikfast_manipulator_plugin'}
[0.000867] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_moveit_config'}
[0.000882] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_pg70_support'}
[0.000897] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_support'}
[0.000912] (-) JobUnselected: {'identifier': 'moveit_ros'}
[0.000927] (-) JobUnselected: {'identifier': 'moveit_ros_benchmarks'}
[0.000942] (-) JobUnselected: {'identifier': 'moveit_ros_control_interface'}
[0.000956] (-) JobUnselected: {'identifier': 'moveit_ros_move_group'}
[0.000971] (-) JobUnselected: {'identifier': 'moveit_ros_occupancy_map_monitor'}
[0.000986] (-) JobUnselected: {'identifier': 'moveit_ros_perception'}
[0.001001] (-) JobUnselected: {'identifier': 'moveit_ros_planning'}
[0.001015] (-) JobUnselected: {'identifier': 'moveit_ros_planning_interface'}
[0.001030] (-) JobUnselected: {'identifier': 'moveit_ros_robot_interaction'}
[0.001045] (-) JobUnselected: {'identifier': 'moveit_ros_tests'}
[0.001059] (-) JobUnselected: {'identifier': 'moveit_ros_visualization'}
[0.001074] (-) JobUnselected: {'identifier': 'moveit_ros_warehouse'}
[0.001088] (-) JobUnselected: {'identifier': 'moveit_runtime'}
[0.001103] (-) JobUnselected: {'identifier': 'moveit_servo'}
[0.001118] (-) JobUnselected: {'identifier': 'moveit_setup_app_plugins'}
[0.001132] (-) JobUnselected: {'identifier': 'moveit_setup_assistant'}
[0.001147] (-) JobUnselected: {'identifier': 'moveit_setup_controllers'}
[0.001161] (-) JobUnselected: {'identifier': 'moveit_setup_core_plugins'}
[0.001176] (-) JobUnselected: {'identifier': 'moveit_setup_framework'}
[0.001190] (-) JobUnselected: {'identifier': 'moveit_setup_srdf_plugins'}
[0.001205] (-) JobUnselected: {'identifier': 'moveit_simple_controller_manager'}
[0.001220] (-) JobUnselected: {'identifier': 'moveit_task_constructor_capabilities'}
[0.001234] (-) JobUnselected: {'identifier': 'moveit_task_constructor_core'}
[0.001249] (-) JobUnselected: {'identifier': 'moveit_task_constructor_demo'}
[0.001272] (-) JobUnselected: {'identifier': 'moveit_task_constructor_msgs'}
[0.001287] (-) JobUnselected: {'identifier': 'moveit_task_constructor_visualization'}
[0.001302] (-) JobUnselected: {'identifier': 'moveit_visual_tools'}
[0.001324] (-) JobUnselected: {'identifier': 'my_robot'}
[0.001344] (-) JobUnselected: {'identifier': 'pick_ik'}
[0.001359] (-) JobUnselected: {'identifier': 'pilz_industrial_motion_planner'}
[0.001374] (-) JobUnselected: {'identifier': 'pilz_industrial_motion_planner_testutils'}
[0.001389] (-) JobUnselected: {'identifier': 'robotiq_controllers'}
[0.001403] (-) JobUnselected: {'identifier': 'robotiq_description'}
[0.001418] (-) JobUnselected: {'identifier': 'robotiq_driver'}
[0.001433] (-) JobUnselected: {'identifier': 'robotiq_hardware_tests'}
[0.001447] (-) JobUnselected: {'identifier': 'rviz_marker_tools'}
[0.001462] (-) JobUnselected: {'identifier': 'rviz_visual_tools'}
[0.001476] (-) JobUnselected: {'identifier': 'serial'}
[0.001492] (-) EventReactorShutdown: {}
