[0.000000] (-) TimerEvent: {}
[0.000113] (-) JobUnselected: {'identifier': 'chomp_motion_planner'}
[0.000131] (-) JobUnselected: {'identifier': 'dual_arm_panda_moveit_config'}
[0.000141] (-) JobUnselected: {'identifier': 'dual_arm_panda_moveit_config'}
[0.000149] (-) JobUnselected: {'identifier': 'kinova_gen3_6dof_robotiq_2f_85_moveit_config'}
[0.000156] (-) JobUnselected: {'identifier': 'kinova_gen3_7dof_robotiq_2f_85_moveit_config'}
[0.000163] (-) JobUnselected: {'identifier': 'kortex_api'}
[0.000171] (-) JobUnselected: {'identifier': 'kortex_bringup'}
[0.000178] (-) JobUnselected: {'identifier': 'kortex_description'}
[0.000185] (-) JobUnselected: {'identifier': 'kortex_driver'}
[0.000193] (-) JobUnselected: {'identifier': 'moveit'}
[0.000202] (-) JobUnselected: {'identifier': 'moveit2_tutorials'}
[0.000212] (-) JobUnselected: {'identifier': 'moveit_common'}
[0.000221] (-) JobUnselected: {'identifier': 'moveit_configs_utils'}
[0.000230] (-) JobUnselected: {'identifier': 'moveit_core'}
[0.000240] (-) JobUnselected: {'identifier': 'moveit_hybrid_planning'}
[0.000249] (-) JobUnselected: {'identifier': 'moveit_kinematics'}
[0.000259] (-) JobUnselected: {'identifier': 'moveit_msgs'}
[0.000268] (-) JobUnselected: {'identifier': 'moveit_planners'}
[0.000276] (-) JobUnselected: {'identifier': 'moveit_planners_chomp'}
[0.000282] (-) JobUnselected: {'identifier': 'moveit_planners_ompl'}
[0.000290] (-) JobUnselected: {'identifier': 'moveit_planners_stomp'}
[0.000297] (-) JobUnselected: {'identifier': 'moveit_plugins'}
[0.000304] (-) JobUnselected: {'identifier': 'moveit_py'}
[0.000310] (-) JobUnselected: {'identifier': 'moveit_resources'}
[0.000317] (-) JobUnselected: {'identifier': 'moveit_resources_fanuc_description'}
[0.000324] (-) JobUnselected: {'identifier': 'moveit_resources_fanuc_moveit_config'}
[0.000330] (-) JobUnselected: {'identifier': 'moveit_resources_panda_description'}
[0.000337] (-) JobUnselected: {'identifier': 'moveit_resources_panda_moveit_config'}
[0.000344] (-) JobUnselected: {'identifier': 'moveit_resources_pr2_description'}
[0.000351] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_ikfast_manipulator_plugin'}
[0.000358] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_moveit_config'}
[0.000366] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_pg70_support'}
[0.000373] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_support'}
[0.000380] (-) JobUnselected: {'identifier': 'moveit_ros'}
[0.000386] (-) JobUnselected: {'identifier': 'moveit_ros_benchmarks'}
[0.000393] (-) JobUnselected: {'identifier': 'moveit_ros_control_interface'}
[0.000400] (-) JobUnselected: {'identifier': 'moveit_ros_move_group'}
[0.000407] (-) JobUnselected: {'identifier': 'moveit_ros_occupancy_map_monitor'}
[0.000414] (-) JobUnselected: {'identifier': 'moveit_ros_perception'}
[0.000420] (-) JobUnselected: {'identifier': 'moveit_ros_planning'}
[0.000427] (-) JobUnselected: {'identifier': 'moveit_ros_planning_interface'}
[0.000434] (-) JobUnselected: {'identifier': 'moveit_ros_robot_interaction'}
[0.000441] (-) JobUnselected: {'identifier': 'moveit_ros_tests'}
[0.000448] (-) JobUnselected: {'identifier': 'moveit_ros_visualization'}
[0.000455] (-) JobUnselected: {'identifier': 'moveit_ros_warehouse'}
[0.000462] (-) JobUnselected: {'identifier': 'moveit_runtime'}
[0.000469] (-) JobUnselected: {'identifier': 'moveit_servo'}
[0.000476] (-) JobUnselected: {'identifier': 'moveit_setup_app_plugins'}
[0.000483] (-) JobUnselected: {'identifier': 'moveit_setup_assistant'}
[0.000490] (-) JobUnselected: {'identifier': 'moveit_setup_controllers'}
[0.000497] (-) JobUnselected: {'identifier': 'moveit_setup_core_plugins'}
[0.000504] (-) JobUnselected: {'identifier': 'moveit_setup_framework'}
[0.000510] (-) JobUnselected: {'identifier': 'moveit_setup_srdf_plugins'}
[0.000517] (-) JobUnselected: {'identifier': 'moveit_simple_controller_manager'}
[0.000524] (-) JobUnselected: {'identifier': 'moveit_task_constructor_capabilities'}
[0.000531] (-) JobUnselected: {'identifier': 'moveit_task_constructor_core'}
[0.000538] (-) JobUnselected: {'identifier': 'moveit_task_constructor_demo'}
[0.000589] (-) JobUnselected: {'identifier': 'moveit_task_constructor_msgs'}
[0.000597] (-) JobUnselected: {'identifier': 'moveit_task_constructor_visualization'}
[0.000605] (-) JobUnselected: {'identifier': 'moveit_visual_tools'}
[0.000612] (-) JobUnselected: {'identifier': 'my_robot'}
[0.000619] (-) JobUnselected: {'identifier': 'pick_ik'}
[0.000626] (-) JobUnselected: {'identifier': 'pilz_industrial_motion_planner'}
[0.000632] (-) JobUnselected: {'identifier': 'pilz_industrial_motion_planner_testutils'}
[0.000640] (-) JobUnselected: {'identifier': 'robotiq_controllers'}
[0.000647] (-) JobUnselected: {'identifier': 'robotiq_description'}
[0.000654] (-) JobUnselected: {'identifier': 'robotiq_driver'}
[0.000661] (-) JobUnselected: {'identifier': 'robotiq_hardware_tests'}
[0.000668] (-) JobUnselected: {'identifier': 'rviz_marker_tools'}
[0.000676] (-) JobUnselected: {'identifier': 'rviz_visual_tools'}
[0.000683] (-) JobUnselected: {'identifier': 'serial'}
[0.001003] (-) EventReactorShutdown: {}
