[0.000000] (-) TimerEvent: {}
[0.000268] (-) JobUnselected: {'identifier': 'chomp_motion_planner'}
[0.000382] (-) JobUnselected: {'identifier': 'dual_arm_panda_moveit_config'}
[0.000403] (-) JobUnselected: {'identifier': 'dual_arm_panda_moveit_config'}
[0.000412] (-) JobUnselected: {'identifier': 'kinova_gen3_6dof_robotiq_2f_85_moveit_config'}
[0.000420] (-) JobUnselected: {'identifier': 'kinova_gen3_7dof_robotiq_2f_85_moveit_config'}
[0.000427] (-) JobUnselected: {'identifier': 'kortex_api'}
[0.000434] (-) JobUnselected: {'identifier': 'kortex_bringup'}
[0.000440] (-) JobUnselected: {'identifier': 'kortex_description'}
[0.000447] (-) JobUnselected: {'identifier': 'kortex_driver'}
[0.000453] (-) JobUnselected: {'identifier': 'moveit'}
[0.000459] (-) JobUnselected: {'identifier': 'moveit2_tutorials'}
[0.000492] (-) JobUnselected: {'identifier': 'moveit_common'}
[0.000499] (-) JobUnselected: {'identifier': 'moveit_configs_utils'}
[0.000505] (-) JobUnselected: {'identifier': 'moveit_core'}
[0.000511] (-) JobUnselected: {'identifier': 'moveit_hybrid_planning'}
[0.000518] (-) JobUnselected: {'identifier': 'moveit_kinematics'}
[0.000524] (-) JobUnselected: {'identifier': 'moveit_msgs'}
[0.000531] (-) JobUnselected: {'identifier': 'moveit_planners'}
[0.000540] (-) JobUnselected: {'identifier': 'moveit_planners_chomp'}
[0.000549] (-) JobUnselected: {'identifier': 'moveit_planners_ompl'}
[0.000557] (-) JobUnselected: {'identifier': 'moveit_planners_stomp'}
[0.000566] (-) JobUnselected: {'identifier': 'moveit_plugins'}
[0.000574] (-) JobUnselected: {'identifier': 'moveit_py'}
[0.000582] (-) JobUnselected: {'identifier': 'moveit_resources'}
[0.000591] (-) JobUnselected: {'identifier': 'moveit_resources_fanuc_description'}
[0.000599] (-) JobUnselected: {'identifier': 'moveit_resources_fanuc_moveit_config'}
[0.000608] (-) JobUnselected: {'identifier': 'moveit_resources_panda_description'}
[0.000618] (-) JobUnselected: {'identifier': 'moveit_resources_panda_moveit_config'}
[0.000627] (-) JobUnselected: {'identifier': 'moveit_resources_pr2_description'}
[0.000636] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_ikfast_manipulator_plugin'}
[0.000646] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_moveit_config'}
[0.000654] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_pg70_support'}
[0.000660] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_support'}
[0.000667] (-) JobUnselected: {'identifier': 'moveit_ros'}
[0.000673] (-) JobUnselected: {'identifier': 'moveit_ros_benchmarks'}
[0.000680] (-) JobUnselected: {'identifier': 'moveit_ros_control_interface'}
[0.000731] (-) JobUnselected: {'identifier': 'moveit_ros_move_group'}
[0.000739] (-) JobUnselected: {'identifier': 'moveit_ros_occupancy_map_monitor'}
[0.000769] (-) JobUnselected: {'identifier': 'moveit_ros_perception'}
[0.000775] (-) JobUnselected: {'identifier': 'moveit_ros_planning'}
[0.000782] (-) JobUnselected: {'identifier': 'moveit_ros_planning_interface'}
[0.000788] (-) JobUnselected: {'identifier': 'moveit_ros_robot_interaction'}
[0.000794] (-) JobUnselected: {'identifier': 'moveit_ros_tests'}
[0.000801] (-) JobUnselected: {'identifier': 'moveit_ros_visualization'}
[0.000848] (-) JobUnselected: {'identifier': 'moveit_ros_warehouse'}
[0.000855] (-) JobUnselected: {'identifier': 'moveit_runtime'}
[0.000862] (-) JobUnselected: {'identifier': 'moveit_servo'}
[0.000868] (-) JobUnselected: {'identifier': 'moveit_setup_app_plugins'}
[0.000875] (-) JobUnselected: {'identifier': 'moveit_setup_assistant'}
[0.000881] (-) JobUnselected: {'identifier': 'moveit_setup_controllers'}
[0.000888] (-) JobUnselected: {'identifier': 'moveit_setup_core_plugins'}
[0.000894] (-) JobUnselected: {'identifier': 'moveit_setup_framework'}
[0.000900] (-) JobUnselected: {'identifier': 'moveit_setup_srdf_plugins'}
[0.000907] (-) JobUnselected: {'identifier': 'moveit_simple_controller_manager'}
[0.000913] (-) JobUnselected: {'identifier': 'moveit_task_constructor_capabilities'}
[0.000920] (-) JobUnselected: {'identifier': 'moveit_task_constructor_core'}
[0.000926] (-) JobUnselected: {'identifier': 'moveit_task_constructor_demo'}
[0.000938] (-) JobUnselected: {'identifier': 'moveit_task_constructor_msgs'}
[0.000944] (-) JobUnselected: {'identifier': 'moveit_task_constructor_visualization'}
[0.000951] (-) JobUnselected: {'identifier': 'moveit_visual_tools'}
[0.000957] (-) JobUnselected: {'identifier': 'my_robot'}
[0.000963] (-) JobUnselected: {'identifier': 'pick_ik'}
[0.000970] (-) JobUnselected: {'identifier': 'pilz_industrial_motion_planner'}
[0.000976] (-) JobUnselected: {'identifier': 'pilz_industrial_motion_planner_testutils'}
[0.000983] (-) JobUnselected: {'identifier': 'robotiq_controllers'}
[0.000989] (-) JobUnselected: {'identifier': 'robotiq_description'}
[0.000996] (-) JobUnselected: {'identifier': 'robotiq_driver'}
[0.001002] (-) JobUnselected: {'identifier': 'robotiq_hardware_tests'}
[0.001033] (-) JobUnselected: {'identifier': 'rviz_marker_tools'}
[0.001040] (-) JobUnselected: {'identifier': 'rviz_visual_tools'}
[0.001047] (-) JobUnselected: {'identifier': 'serial'}
[0.001054] (-) EventReactorShutdown: {}
