[0.000000] (-) TimerEvent: {}
[0.000285] (-) JobUnselected: {'identifier': 'chomp_motion_planner'}
[0.000340] (-) JobUnselected: {'identifier': 'dual_arm_panda_moveit_config'}
[0.000353] (-) JobUnselected: {'identifier': 'dual_arm_panda_moveit_config'}
[0.000364] (-) JobUnselected: {'identifier': 'kinova_gen3_6dof_robotiq_2f_85_moveit_config'}
[0.000374] (-) JobUnselected: {'identifier': 'kinova_gen3_7dof_robotiq_2f_85_moveit_config'}
[0.000393] (-) JobUnselected: {'identifier': 'kortex_api'}
[0.000449] (-) JobUnselected: {'identifier': 'kortex_bringup'}
[0.000494] (-) JobUnselected: {'identifier': 'kortex_description'}
[0.000574] (-) JobUnselected: {'identifier': 'kortex_driver'}
[0.000640] (-) JobUnselected: {'identifier': 'moveit'}
[0.000659] (-) JobUnselected: {'identifier': 'moveit2_tutorials'}
[0.000757] (-) JobUnselected: {'identifier': 'moveit_common'}
[0.000788] (-) JobUnselected: {'identifier': 'moveit_configs_utils'}
[0.000810] (-) JobUnselected: {'identifier': 'moveit_core'}
[0.000828] (-) JobUnselected: {'identifier': 'moveit_hybrid_planning'}
[0.000845] (-) JobUnselected: {'identifier': 'moveit_kinematics'}
[0.000861] (-) JobUnselected: {'identifier': 'moveit_msgs'}
[0.000878] (-) JobUnselected: {'identifier': 'moveit_planners'}
[0.000894] (-) JobUnselected: {'identifier': 'moveit_planners_chomp'}
[0.000910] (-) JobUnselected: {'identifier': 'moveit_planners_ompl'}
[0.000926] (-) JobUnselected: {'identifier': 'moveit_planners_stomp'}
[0.000941] (-) JobUnselected: {'identifier': 'moveit_plugins'}
[0.000956] (-) JobUnselected: {'identifier': 'moveit_py'}
[0.000971] (-) JobUnselected: {'identifier': 'moveit_resources'}
[0.000986] (-) JobUnselected: {'identifier': 'moveit_resources_fanuc_description'}
[0.001001] (-) JobUnselected: {'identifier': 'moveit_resources_fanuc_moveit_config'}
[0.001016] (-) JobUnselected: {'identifier': 'moveit_resources_panda_description'}
[0.001031] (-) JobUnselected: {'identifier': 'moveit_resources_panda_moveit_config'}
[0.001046] (-) JobUnselected: {'identifier': 'moveit_resources_pr2_description'}
[0.001061] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_ikfast_manipulator_plugin'}
[0.001076] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_moveit_config'}
[0.001091] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_pg70_support'}
[0.001106] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_support'}
[0.001121] (-) JobUnselected: {'identifier': 'moveit_ros'}
[0.001135] (-) JobUnselected: {'identifier': 'moveit_ros_benchmarks'}
[0.001150] (-) JobUnselected: {'identifier': 'moveit_ros_control_interface'}
[0.001165] (-) JobUnselected: {'identifier': 'moveit_ros_move_group'}
[0.001179] (-) JobUnselected: {'identifier': 'moveit_ros_occupancy_map_monitor'}
[0.001194] (-) JobUnselected: {'identifier': 'moveit_ros_perception'}
[0.001208] (-) JobUnselected: {'identifier': 'moveit_ros_planning'}
[0.001223] (-) JobUnselected: {'identifier': 'moveit_ros_planning_interface'}
[0.001237] (-) JobUnselected: {'identifier': 'moveit_ros_robot_interaction'}
[0.001252] (-) JobUnselected: {'identifier': 'moveit_ros_tests'}
[0.001266] (-) JobUnselected: {'identifier': 'moveit_ros_visualization'}
[0.001281] (-) JobUnselected: {'identifier': 'moveit_ros_warehouse'}
[0.001295] (-) JobUnselected: {'identifier': 'moveit_runtime'}
[0.001310] (-) JobUnselected: {'identifier': 'moveit_servo'}
[0.001324] (-) JobUnselected: {'identifier': 'moveit_setup_app_plugins'}
[0.001339] (-) JobUnselected: {'identifier': 'moveit_setup_assistant'}
[0.001353] (-) JobUnselected: {'identifier': 'moveit_setup_controllers'}
[0.001368] (-) JobUnselected: {'identifier': 'moveit_setup_core_plugins'}
[0.001382] (-) JobUnselected: {'identifier': 'moveit_setup_framework'}
[0.001396] (-) JobUnselected: {'identifier': 'moveit_setup_srdf_plugins'}
[0.001410] (-) JobUnselected: {'identifier': 'moveit_simple_controller_manager'}
[0.001424] (-) JobUnselected: {'identifier': 'moveit_task_constructor_capabilities'}
[0.001439] (-) JobUnselected: {'identifier': 'moveit_task_constructor_core'}
[0.001453] (-) JobUnselected: {'identifier': 'moveit_task_constructor_demo'}
[0.001476] (-) JobUnselected: {'identifier': 'moveit_task_constructor_msgs'}
[0.001492] (-) JobUnselected: {'identifier': 'moveit_task_constructor_visualization'}
[0.001506] (-) JobUnselected: {'identifier': 'moveit_visual_tools'}
[0.001521] (-) JobUnselected: {'identifier': 'my_robot'}
[0.001535] (-) JobUnselected: {'identifier': 'pick_ik'}
[0.001550] (-) JobUnselected: {'identifier': 'pilz_industrial_motion_planner'}
[0.001565] (-) JobUnselected: {'identifier': 'pilz_industrial_motion_planner_testutils'}
[0.001584] (-) JobUnselected: {'identifier': 'robotiq_controllers'}
[0.001603] (-) JobUnselected: {'identifier': 'robotiq_description'}
[0.001617] (-) JobUnselected: {'identifier': 'robotiq_driver'}
[0.001632] (-) JobUnselected: {'identifier': 'robotiq_hardware_tests'}
[0.001646] (-) JobUnselected: {'identifier': 'rviz_marker_tools'}
[0.001660] (-) JobUnselected: {'identifier': 'rviz_visual_tools'}
[0.001675] (-) JobUnselected: {'identifier': 'serial'}
[0.001690] (-) EventReactorShutdown: {}
